City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Qaanaaq,GL,2021-10-12 10:14:44,77.484,-69.3632,30.61,97,100,4.97
116,The Pas,CA,2021-10-12 10:14:44,53.8251,-101.2541,38.05,94,100,13.04
117,Talnakh,RU,2021-10-12 10:14:45,69.4865,88.3972,15.66,96,96,1.1
118,Marsa Matruh,EG,2021-10-12 10:14:45,31.3525,27.2453,81.73,45,0,8.52
119,Grindavik,IS,2021-10-12 10:14:45,63.8424,-22.4338,45.07,93,90,12.66
120,Vernon,CA,2021-10-12 10:14:46,50.2581,-119.2691,34.29,80,1,1.01
121,Luderitz,NA,2021-10-12 10:14:46,-26.6481,15.1594,71.98,52,97,14.34
122,Delhi,IN,2021-10-12 10:13:34,28.6667,77.2167,95.09,24,0,6.91
123,Pevek,RU,2021-10-12 10:14:47,69.7008,170.3133,16.03,89,92,3.47
124,Atuona,PF,2021-10-12 10:14:47,-9.8,-139.0333,77.88,71,11,20.18
125,Punta Arenas,CL,2021-10-12 10:14:47,-53.15,-70.9167,44.71,70,0,5.75
126,Butaritari,KI,2021-10-12 10:14:48,3.0707,172.7902,81.3,71,73,10.04
127,Arraial Do Cabo,BR,2021-10-12 10:14:48,-22.9661,-42.0278,66.06,88,75,8.05
128,Sao Miguel Do Tapuio,BR,2021-10-12 10:14:49,-5.5036,-41.3233,79.81,56,69,8.39
129,East London,ZA,2021-10-12 10:14:49,-33.0153,27.9116,74.8,52,63,15.86
130,Hilo,US,2021-10-12 10:10:57,19.7297,-155.09,75.79,95,90,13.8
131,Kindu,CD,2021-10-12 10:14:49,-2.95,25.95,89.29,45,88,3.06
132,Cooma,AU,2021-10-12 10:14:50,-36.2333,149.1333,39.27,98,53,4.5
133,Fortuna Foothills,US,2021-10-12 10:14:50,32.6578,-114.4119,61.21,49,1,5.99
134,Kodiak,US,2021-10-12 10:14:50,57.79,-152.4072,42.21,81,69,10.85
135,Namanyere,TZ,2021-10-12 10:14:51,-7.5167,31.05,83.32,28,70,1.68
